RA,Nome,Gênero,Turma,Escola,Instituição de ensino,Ativo/ Inativo,Ano ingresso,Fase,Fase Ideal,Defasagem,Pedra 2024,INDE 2022,INDE 2023,INDE 2024,Data de Nasc,Idade,Pedra 20,Pedra 21,Pedra 22,Pedra 23,Cg,Cf,Ct,Nº Av,Avaliador1,Rec Av1,Avaliador2,Rec Av2,Avaliador3,Avaliador4,Avaliador5,Avaliador6,IAA,IEG,IPS,IPP,Rec Psicologia,IDA,Mat,Por,Ing,Indicado,Atingiu PV,IPV,IAN,Destaque IEG,Destaque IDA,Destaque IPV,Ano
RA-1018,Aluno-1018,Masculino,1A,EE Dom Pedro Villas Boas de Souza,Pública,Cursando,2023,1A,Fase 2 (5° e 6° ano),-1,Ametista,,6.824,7.7054045454,2013-12-10 00:00:00,10,,,,Agata,,,,3,Avaliador-14,,Avaliador-3,,Avaliador-15,,,,8.502,7.727272727,6.26,8.4375,,8.25,8.5,8.0,,,,8.45,5.0,,,,2024
RA-1019,Aluno-1019,Feminino,1A,EM Etelvina Delfim Simões,Pública,Cursando,2023,1A,Fase 1 (3° e 4° ano),0,Topázio,,7.177033333,8.692255194900001,2015-03-23 00:00:00,9,,,,Ametista,,,,3,Avaliador-14,,Avaliador-3,,Avaliador-15,,,,9.502,9.3073593075,6.26,7.8125,,8.75,9.5,8.0,,,,8.616666667,10.0,,,,2024
RA-1020,Aluno-1020,Feminino,1A,EE Dom Pedro Villas Boas de Souza,Pública,Cursando,2023,1A,Fase 1 (3° e 4° ano),0,Topázio,,7.612283333,8.9544954545,2014-07-25 00:00:00,10,,,,Ametista,,,,3,Avaliador-14,,Avaliador-3,,Avaliador-15,,,,9.002,9.7727272725,6.88,8.4375,,9.0,10.0,8.0,,,,8.84,10.0,,,,2024
RA-1021,Aluno-1021,Masculino,1A,EE Dom Pedro Villas Boas de Souza,Pública,Cursando,2023,1A,Fase 2 (5° e 6° ano),-1,Topázio,,6.964616667,8.0985863636,2014-03-10 00:00:00,10,,,,Agata,,,,3,Avaliador-14,,Avaliador-3,,Avaliador-15,,,,9.502,9.318181818,7.51,8.4375,,8.0,9.0,7.0,,,,7.95,5.0,,,,2024
RA-1022,Aluno-1022,Masculino,1A,EE Dom Pedro Villas Boas de Souza,Pública,Cursando,2023,1A,Fase 2 (5° e 6° ano),-1,Ametista,,7.164616667,7.613169697000002,2014-02-25 00:00:00,10,,,,Ametista,,,,3,Avaliador-14,,Avaliador-3,,Avaliador-15,,,,9.502,9.318181818,6.26,7.5,,6.5,5.5,7.5,,,,8.116666667,5.0,,,,2024
RA-1023,Aluno-1023,Feminino,2B,EE Dom Pedro Villas Boas de Souza,Pública,Cursando,2023,2B,Fase 2 (5° e 6° ano),0,Topázio,,9.1342,9.498580952300001,2014-05-06 00:00:00,10,,,,Topázio,,,,3,Avaliador-19,,Avaliador-5,,Avaliador-2,,,,9.502,9.511904762,9.375,8.958333333,,9.5,9.0,10.0,,,,9.563333333,10.0,,,,2024
RA-1024,Aluno-1024,Feminino,1B,Escola João Paulo II,Pública,Cursando,2023,1B,Fase 2 (5° e 6° ano),-1,Topázio,,7.788875,8.6516166666,2013-05-17 00:00:00,11,,,,Ametista,,,,3,Avaliador-14,,Avaliador-3,,Avaliador-15,,,,8.002,10.0,7.51,8.4375,,10.0,10.0,10.0,,,,8.783333333,5.0,,,,2024
RA-1025,Aluno-1025,Masculino,1A,EE Dom Pedro Villas Boas de Souza,Pública,Cursando,2023,1A,Fase 2 (5° e 6° ano),-1,Ametista,,8.215158333,7.897071212,2013-12-18 00:00:00,10,,,,Topázio,,,,3,Avaliador-14,,Avaliador-3,,Avaliador-15,,,,9.002,7.727272727,7.51,8.4375,,9.0,10.0,8.0,,,,7.783333333,5.0,,,,2024
RA-1027,Aluno-1027,Feminino,2B,EE Bairro Boa Vista,Pública,Cursando,2023,2B,Fase 2 (5° e 6° ano),0,Topázio,,7.748866667,8.220866666700001,2013-04-25 00:00:00,11,,,,Ametista,,,,3,Avaliador-19,,Avaliador-5,,Avaliador-2,,,,9.502,10.0,7.51,7.916666667,,5.25,6.0,4.5,,,,8.39,10.0,,,,2024
RA-1028,Aluno-1028,Masculino,1B,EE Olivia de Faria Nogueira,Pública,Cursando,2023,1B,Fase 3 (7° e 8° ano),-2,Ametista,,6.415708333,7.1404338602,2012-02-17 00:00:00,12,,,,Agata,,,,3,Avaliador-14,,Avaliador-3,,Avaliador-15,,,,8.002,7.055335968,5.63,6.875,,7.5,6.0,9.0,,,,8.393333333,5.0,,,,2024
